ノ,炎,水,電,草,氷,格,毒,地,飛,超,虫,岩,霊,竜,悪,鋼,妖
ノ,-,-,-,-,-,-,-,-,-,-,-,-,▲,×,-,-,▲,-
炎,-,▲,▲,-,●,●,-,-,-,-,-,●,▲,-,▲,-,●,-
水,-,●,▲,-,▲,-,-,-,●,-,-,-,●,-,▲,-,-,-
電,-,-,●,▲,▲,-,-,-,×,●,-,-,-,-,▲,-,-,-
草,-,▲,●,-,▲,-,-,▲,●,▲,-,▲,●,-,▲,-,▲,-
氷,-,▲,▲,-,●,▲,-,-,●,●,-,-,-,-,●,-,▲,-
格,●,-,-,-,-,●,-,▲,-,▲,▲,▲,●,×,-,●,●,▲
毒,-,-,-,-,●,-,-,▲,▲,-,-,-,▲,▲,-,-,×,●
地,-,●,-,●,▲,-,-,●,-,×,-,▲,●,-,-,-,●,-
飛,-,-,-,▲,●,-,●,-,-,-,-,●,▲,-,-,-,▲,-
超,-,-,-,-,-,-,●,●,-,-,▲,-,-,-,-,×,▲,-
虫,-,▲,-,-,●,-,▲,▲,-,▲,●,-,-,▲,-,●,▲,▲
岩,-,●,-,-,-,●,▲,-,▲,●,-,●,-,-,-,-,▲,-
霊,×,-,-,-,-,-,-,-,-,-,●,-,-,●,-,▲,-,-
竜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,▲,×
悪,-,-,-,-,-,-,▲,-,-,-,●,-,-,●,-,▲,-,▲
鋼,-,▲,▲,▲,-,●,-,-,-,-,-,-,●,-,-,-,▲,●
妖,-,▲,-,-,-,-,●,▲,-,-,-,-,-,-,●,●,▲,-
